K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
353	2	5036775	0.062	27.548	0.07	26.792	971	1043.67
354	2	5038137	0.088	4.974	0.071	4.303	1362	1252.33
355	2	5039630	0.044	5.697	0.06	5.062	1493	1473.00
356	2	5040193	0.039	6.769	0.076	6.112	563	624.00
357	2	5041234	0.037	8.422	0.068	7.769	1041	1045.00
358	2	5042107	0.062	12.486	0.083	11.892	873	857.00
359	2	5057721	0.193	23.749	0.079	23.065	15614	15621.67
360	2	5058362	0.04	1.593	0.069	0.946	641	590.33
361	2	5061649	0.062	24.418	0.093	23.741	3287	3235.33
362	2	5062287	0.04	12.634	0.058	11.983	638	594.67
363	2	5062956	0.042	8.838	0.069	8.157	669	782.67
364	2	5067148	0.073	7.025	0.076	6.331	4192	4113.67
365	2	5068115	0.049	5.709	0.077	5.049	967	994.67
366	2	5069107	0.033	5.063	0.063	4.406	992	794.67
367	2	5070537	0.056	24.321	0.07	23.643	1430	1475.33
368	2	5071354	0.041	6.998	0.074	6.337	817	647.00
369	2	5077069	0.08	8.441	0.07	7.784	5715	5808.33
370	2	5077950	0.045	3.368	0.074	2.733	881	854.00
371	2	5078734	0.049	28.651	0.07	27.861	784	691.33
372	2	5079277	0.036	3.528	0.074	2.763	543	527.67
373	2	5082550	0.067	27.273	0.081	26.55	3273	3308.67
374	2	5084191	0.052	14.522	0.067	13.775	1641	1498.00
375	2	5084558	0.044	1.479	0.072	0.735	367	388.33
376	2	5085383	0.04	7.891	0.078	7.113	825	873.33
377	2	5086570	0.048	27.188	0.071	26.376	1187	1086.67
378	2	5087253	0.032	5.14	0.074	4.454	683	646.00
379	2	5096319	0.118	24.06	0.087	23.39	9066	9001.00
380	2	5096906	0.054	2.306	0.064	1.663	587	707.33
381	2	5097888	0.038	8.464	0.064	7.827	982	1085.33
382	2	5098780	0.059	11.768	0.052	11.15	892	882.00
383	2	5099501	0.056	23.086	0.074	22.454	721	715.67
384	2	5106883	0.123	3.133	0.083	2.454	7382	7327.67
385	2	5110144	0.066	5.745	0.066	5.084	3261	3229.33
386	2	5110886	0.03	12.03	0.056	11.362	742	600.67
387	2	5111706	0.042	8.791	0.061	8.136	820	861.33
388	2	5112652	0.039	7.081	0.078	6.38	946	850.00
389	2	5118364	0.087	23.212	0.078	22.564	5712	5773.33
390	2	5119260	0.055	1.871	0.073	1.227	896	694.00
391	2	5120838	0.044	22.989	0.065	22.37	1578	1518.67
392	2	5121524	0.053	6.937	0.053	6.287	686	726.67
393	2	5122430	0.056	9.571	0.068	8.855	906	1047.33
394	2	5126602	0.088	12.929	0.066	12.23	4172	4107.33
395	2	5127263	0.046	5.732	0.066	5.088	661	753.00
396	2	5127927	0.029	2.95	0.067	2.304	664	589.00
397	2	5131274	0.089	24.659	0.073	23.984	3347	3258.67
398	2	5131853	0.029	12.106	0.062	11.45	579	663.33
399	2	5134514	0.064	9.457	0.076	8.795	2661	2631.00
400	2	5135283	0.038	1.547	0.083	0.819	769	750.33
401	2	5136292	0.051	22.95	0.071	22.27	1009	1009.00
402	2	5136994	0.039	4.968	0.066	4.331	702	685.33
403	2	5138535	0.044	28.147	0.072	27.361	1541	1526.33
404	2	5139832	0.056	7.908	0.085	7.124	1297	1228.00
405	2	5140857	0.043	3.329	0.082	2.53	1025	1088.67
406	2	5141858	0.05	13.564	0.084	12.838	1001	970.67
407	2	5142534	0.045	26.688	0.068	25.919	676	650.00
408	2	5143222	0.034	3.443	0.067	2.724	688	603.67
409	2	5641723	4.787	27.272	0.922	25.694	498501	498501.00
410	2	5642373	0.063	4.133	0.078	3.351	650	608.67
411	2	5642982	0.036	10.857	0.098	9.995	609	629.00
412	2	5643719	0.042	7.602	0.077	6.854	737	873.33
413	2	5644683	0.041	26.904	0.086	26.134	964	1005.33
414	2	5645987	0.046	5.616	0.076	4.849	1304	1293.00
415	2	5647467	0.058	6.02	0.068	5.309	1480	1470.33
416	2	5648065	0.056	8.051	0.078	7.254	598	583.33
417	2	5649062	0.041	9.125	0.073	8.467	997	1040.67
418	2	5649841	0.039	14.234	0.074	13.499	779	889.67
419	2	5652611	0.063	28.455	0.087	27.645	2770	2639.00
420	2	5653245	0.038	2.017	0.081	1.184	634	584.00
421	2	5656558	0.081	30.482	0.088	29.568	3313	3273.00
422	2	5657206	0.039	13.906	0.079	13.175	648	619.00
423	2	5658016	0.055	9.083	0.07	8.398	810	692.00
424	2	5662188	0.076	8.43	0.095	7.614	4172	4101.67
425	2	5663410	0.066	2.778	0.083	1.949	1222	1083.33
426	2	5663998	0.038	5.606	0.07	4.883	588	641.00
427	2	5665411	0.049	30.293	0.073	29.428	1413	1402.67
428	2	5666004	0.037	9.052	0.078	8.182	593	673.33
429	2	5671716	0.135	12.241	0.104	11.292	5712	5772.00
430	2	5672576	0.041	5.012	0.106	4.049	860	870.33
431	2	5673297	0.046	28.39	0.076	27.614	721	734.00
432	2	5673929	0.032	4.782	0.106	3.719	632	633.67
433	2	5677207	0.087	29.174	0.079	28.378	3278	3229.00
434	2	5684587	0.121	16.007	0.095	15.101	7380	7327.00
435	2	5685451	0.043	3.763	0.093	2.819	864	833.33
436	2	5686344	0.062	10.662	0.128	9.639	893	821.00
437	2	5687389	0.085	33.943	0.119	32.907	1045	1036.00
438	2	5688234	0.044	7.495	0.115	6.501	845	717.33
439	2	5697300	0.157	33.408	0.121	32.431	9066	9003.00
440	2	5697944	0.041	3.133	0.1	2.265	644	598.00
441	2	5698915	0.052	12.324	0.101	11.408	971	1031.00
442	2	5699663	0.047	17.048	0.096	16.172	748	848.67
443	2	5700319	0.041	31.545	0.1	30.646	656	631.33
444	2	5701663	0.069	4.167	0.085	3.282	1344	1286.00
445	2	5704933	0.087	6.731	0.1	5.948	3270	3257.00
446	2	5705712	0.036	17.212	0.082	16.284	779	744.00
447	2	5706382	0.044	11.607	0.098	10.732	670	655.00
448	2	5707300	0.046	8.744	0.078	7.93	918	886.67
449	2	5713016	0.106	30.305	0.087	29.44	5716	5773.33
450	2	5713606	0.047	1.905	0.104	0.986	590	523.00
451	2	5715053	0.085	24.515	0.064	23.834	1447	1449.67
452	2	5715629	0.046	6.708	0.057	6.042	576	657.33
453	2	5716696	0.037	8.222	0.065	7.605	1067	1036.33
454	2	5720870	0.097	12.086	0.066	11.453	4174	4109.00
455	2	5721532	0.047	6.513	0.078	5.806	662	764.67
456	2	5722234	0.028	2.896	0.067	2.275	702	630.00
457	2	5725470	0.061	29.465	0.106	28.679	3236	3221.00
458	2	5726364	0.039	15.158	0.079	14.36	894	729.67
459	2	5741978	0.172	9.712	0.099	8.987	15614	15621.67
460	2	5742706	0.037	2.512	0.067	1.826	728	784.33
461	2	5743715	0.042	26.726	0.074	25.976	1009	1036.33
462	2	5744458	0.034	5.803	0.084	5.008	743	626.67
463	2	5745982	0.064	28.546	0.083	27.723	1524	1486.33
464	2	5747148	0.058	7.352	0.086	6.634	1166	1226.00
465	2	5748223	0.054	3.102	0.071	2.367	1075	1089.67
466	2	5748990	0.062	13.735	0.07	13.026	767	801.00
467	2	5749829	0.045	29.611	0.078	28.754	839	908.00
468	2	5750384	0.054	3.649	0.066	2.893	555	579.67
469	2	5769389	0.201	27.157	0.103	26.369	19005	18953.67
470	2	5769917	0.04	3.783	0.068	3.066	528	608.33
471	2	5770576	0.035	9.284	0.076	8.558	659	681.00
472	2	5771443	0.064	7.516	0.067	6.809	867	822.33
473	2	5772315	0.039	22.645	0.07	22.017	872	1015.00
474	2	5773526	0.05	4.799	0.061	4.154	1211	1323.67
475	2	5775060	0.044	2.425	0.088	1.65	1534	1494.67
476	2	5775702	0.032	6.649	0.075	5.992	642	576.00
477	2	5776707	0.061	8.668	0.063	8.018	1005	1083.33
478	2	5777614	0.045	13.169	0.066	12.452	907	851.33
479	2	5780324	0.074	26.611	0.064	25.861	2710	2620.33
480	2	5781020	0.034	1.725	0.056	1.028	696	570.00
481	2	5784280	0.069	26.966	0.086	26.211	3260	3226.33
482	2	5784946	0.034	14.595	0.064	13.828	666	601.00
483	2	5785572	0.046	9.604	0.075	8.889	626	697.33
484	2	5809420	0.268	7.826	0.103	7.019	23848	23900.67
485	2	5810383	0.043	6.837	0.07	6.061	963	1021.67
486	2	5811026	0.033	5.51	0.076	4.746	643	611.33
487	2	5812555	0.052	26.23	0.085	25.496	1529	1478.67
488	2	5813333	0.035	7.481	0.069	6.738	778	673.00
489	2	5819047	0.094	9.443	0.08	8.739	5714	5774.00
490	2	5819853	0.039	3.683	0.071	2.957	806	803.33
491	2	5820779	0.039	24.164	0.07	23.483	926	813.33
492	2	5821276	0.039	3.142	0.059	2.481	497	529.67
493	2	5824771	0.067	22.77	0.076	22.144	3495	3293.67
494	2	5826142	0.064	12.002	0.054	11.376	1371	1303.33
495	2	5826832	0.054	2.575	0.068	1.951	690	773.00
496	2	5827854	0.035	7.582	0.071	6.853	1022	975.33
497	2	5828731	0.046	25.223	0.073	24.467	877	1008.00
498	2	5829498	0.043	5.916	0.079	5.127	767	715.00
499	2	5838564	0.125	25.907	0.085	25.184	9066	9002.00
500	2	5838821	0.036	1.338	0.053	0.661	257	259.67
501	2	5839951	0.071	10.612	0.079	9.819	1130	1086.33
502	2	5840743	0.039	13.225	0.066	12.538	792	853.33
503	2	5841584	0.043	25.398	0.068	24.71	841	736.67
504	2	5842988	0.058	3.91	0.092	3.073	1404	1382.00
505	2	5846288	0.08	6.277	0.07	5.554	3300	3239.33
506	2	5846825	0.055	14.204	0.082	13.474	537	552.33
507	2	5847624	0.06	9.515	0.068	8.809	799	738.33
508	2	5848376	0.049	7.692	0.074	6.932	752	813.67
509	2	5880615	0.393	27.79	0.162	26.972	32239	32290.67
510	2	5881205	0.037	2.232	0.076	1.464	590	559.33
511	2	5882704	0.048	29.167	0.091	28.35	1499	1454.67
512	2	5883211	0.035	8.555	0.072	7.726	507	625.67
513	2	5884194	0.049	11.162	0.09	10.344	983	1025.00
514	2	5888344	0.095	16.157	0.112	15.286	4150	4111.67
515	2	5888997	0.042	7.2	0.094	6.33	653	677.67
516	2	5889830	0.039	3.853	0.084	3.1	833	690.00
517	2	5893078	0.086	29.239	0.097	28.38	3248	3220.33
518	2	5893721	0.036	16.199	0.096	15.295	643	838.00
519	2	5896343	0.081	10.578	0.094	9.708	2622	2651.00
520	2	5897054	0.043	2.786	0.083	2.015	711	836.33
521	2	5898071	0.047	29.297	0.076	28.485	1017	1065.67
522	2	5898742	0.048	6.223	0.072	5.384	671	667.67
523	2	5900264	0.056	28.098	0.085	27.316	1522	1465.67
524	2	5901553	0.046	7.959	0.086	7.147	1289	1236.33
525	2	5902521	0.042	1.643	0.071	0.914	968	1063.00
526	2	5903377	0.038	13.79	0.111	13.04	856	872.67
527	2	5904148	0.057	26.603	0.091	25.857	771	727.33
528	2	5904765	0.046	4.086	0.077	3.259	617	610.00
529	2	5923770	0.209	26.661	0.106	25.842	19005	18953.67
530	2	5924349	0.051	4.805	0.072	3.933	579	655.00
531	2	5924933	0.043	9.767	0.08	9.064	584	638.00
532	2	5925712	0.062	8.013	0.097	7.235	779	746.33
533	2	5926617	0.042	24.882	0.069	24.185	905	1045.33
534	2	5967074	0.405	5.811	0.152	4.995	40457	40538.00
535	2	5968557	0.048	6.294	0.062	5.561	1483	1457.33
536	2	5968945	0.042	7.74	0.064	6.995	388	581.33
537	2	5970086	0.042	9.571	0.076	8.856	1141	1158.33
538	2	5970897	0.05	13.835	0.088	13.144	811	798.33
539	2	5973576	0.074	26.594	0.092	25.824	2679	2599.67
540	2	5974113	0.044	1.778	0.073	1.064	537	579.33
541	2	5977345	0.068	27.811	0.076	27.075	3232	3233.00
542	2	5978105	0.033	14.425	0.08	13.669	760	618.33
543	2	5978737	0.041	10.717	0.08	9.848	632	725.67
544	2	5982906	0.076	8.295	0.084	7.504	4169	4113.33
545	2	5983886	0.047	7.287	0.097	6.468	980	1042.67
546	2	5984603	0.037	5.89	0.092	5.112	717	671.33
547	2	5986080	0.054	29.187	0.092	28.334	1477	1515.33
548	2	5986676	0.032	7.395	0.071	6.704	596	545.33
549	2	5992395	0.089	10.765	0.132	9.925	5719	5767.67
550	2	5993134	0.049	1.852	0.08	1.069	739	829.00
551	2	5994020	0.047	28.947	0.077	28.113	886	791.00
552	2	5994607	0.032	3.344	0.058	2.659	587	581.33
553	2	5997945	0.068	28.448	0.074	27.602	3338	3275.33
554	2	5999206	0.06	13.859	0.075	13.175	1261	1241.67
555	2	6000046	0.047	2.841	0.07	2.169	840	748.67
556	2	6000791	0.038	7.327	0.066	6.64	745	772.67
557	2	6001875	0.042	24.043	0.073	23.364	1084	1040.00
558	2	6002494	0.059	5.026	0.072	4.346	619	561.33
559	2	6051260	0.411	23.646	0.132	22.91	48766	48931.33
560	2	6051973	0.048	2.468	0.068	1.789	713	679.33
561	2	6052943	0.042	9.295	0.068	8.604	970	1132.00
562	2	6053772	0.045	14.089	0.062	13.34	829	888.33
563	2	6054412	0.046	32.154	0.092	31.168	640	699.67
564	2	6055669	0.063	4.296	0.08	3.387	1257	1247.00
565	2	6059040	0.088	7.936	0.091	6.947	3371	3263.00
566	2	6059526	0.039	16.25	0.094	15.371	486	578.33
567	2	6060238	0.046	9.633	0.075	8.85	712	720.67
568	2	6061043	0.039	8.524	0.091	7.695	805	841.33
569	2	6066762	0.114	27.122	0.083	26.297	5719	5774.67
570	2	6067509	0.042	2.315	0.1	1.53	747	655.33
571	2	6069014	0.057	26.556	0.074	25.842	1505	1493.67
572	2	6069733	0.042	7.415	0.07	6.725	719	583.67
573	2	6070730	0.04	9.196	0.084	8.521	997	1049.00
574	2	6074917	0.092	12.207	0.064	11.582	4187	4105.33
575	2	6075600	0.042	2.146	0.077	1.5	683	705.00
576	2	6076209	0.042	2.93	0.068	2.304	609	621.00
577	2	6079592	0.104	25.048	0.079	24.364	3383	3274.00
578	2	6080085	0.038	15.895	0.087	15.066	493	601.67
579	2	6082747	0.073	10.527	0.084	9.738	2662	2630.33
580	2	6083500	0.043	2.813	0.066	2.021	753	817.67
581	2	6084527	0.046	26.587	0.068	25.851	1027	1078.33
582	2	6085010	0.04	5.403	0.079	4.69	483	634.33
583	2	6086506	0.049	26.204	0.085	25.462	1496	1485.33
584	2	6093884	0.119	7.96	0.083	7.209	7378	7326.33
585	2	6094781	0.048	3.251	0.073	2.514	897	1020.33
586	2	6095594	0.069	15.241	0.1	14.436	813	883.00
587	2	6096350	0.041	28.78	0.083	27.935	756	701.67
588	2	6097005	0.055	4.026	0.087	3.161	655	676.33
589	2	6116010	0.244	28.207	0.102	27.451	19005	18953.67
590	2	6116711	0.062	4.402	0.081	3.604	701	609.67
591	2	6117364	0.039	9.464	0.063	8.745	653	687.33
592	2	6118233	0.038	8.053	0.07	7.229	869	882.33
593	2	6119279	0.044	26.576	0.075	25.804	1046	1159.67
594	2	6120776	0.06	5.794	0.061	5.058	1497	1339.00
595	2	6122294	0.057	5.443	0.072	4.844	1518	1469.00
596	2	6122886	0.033	7.64	0.083	6.923	592	645.67
597	2	6123924	0.044	11.205	0.087	10.373	1038	1131.67
598	2	6124788	0.045	14.178	0.076	13.462	864	825.00
599	2	6127501	0.063	26.785	0.072	26.087	2713	2629.67
600	2	6127931	0.032	1.437	0.057	0.724	430	425.00
601	2	6131301	0.071	26.556	0.072	25.842	3370	3262.33
602	2	6131904	0.046	13.722	0.071	13.027	603	592.67
603	2	6132656	0.037	9.82	0.075	9.059	752	838.33
604	2	6136849	0.123	8.59	0.08	7.808	4193	4114.67
605	2	6137743	0.043	5.803	0.067	5.147	894	1034.00
606	2	6138438	0.029	5.684	0.072	4.904	695	715.33
607	2	6139872	0.06	27.322	0.076	26.529	1434	1444.00
608	2	6140504	0.042	7.486	0.064	6.782	632	552.33
609	2	6172743	0.325	9.678	0.129	8.877	32239	32290.67
610	2	6173485	0.047	3.79	0.067	3.109	742	769.00
611	2	6174386	0.038	25.737	0.084	24.992	901	772.67
612	2	6174986	0.042	3.308	0.065	2.618	600	658.67
613	2	6178253	0.07	24.657	0.072	23.957	3267	3234.67
614	2	6179906	0.068	12.748	0.073	12.062	1653	1480.67
615	2	6180545	0.042	2.565	0.052	1.957	639	723.67
616	2	6181314	0.034	6.848	0.059	6.229	769	797.00
