K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
137	2	15088579	0.014	1.255	0.057	0.594	513	507.67
138	2	15089092	0.014	1.321	0.047	0.615	513	507.67
139	2	15089605	0.013	1.262	0.043	0.608	513	507.67
140	2	15090118	0.015	1.293	0.043	0.611	513	507.67
141	2	15090631	0.014	1.334	0.051	0.635	513	507.67
142	2	15091144	0.014	1.276	0.045	0.613	513	507.67
143	2	15091657	0.014	1.364	0.06	0.62	513	507.67
144	2	15092170	0.015	1.345	0.055	0.635	513	507.67
145	2	15092683	0.014	1.304	0.05	0.624	513	507.67
146	2	15093196	0.014	1.304	0.048	0.636	513	507.67
147	2	15093709	0.014	1.277	0.045	0.615	513	507.67
148	2	15094222	0.014	1.277	0.048	0.612	513	507.67
149	2	15094735	0.014	1.254	0.054	0.586	513	507.67
150	2	15095248	0.013	1.237	0.054	0.58	513	507.67
151	2	15095761	0.014	1.258	0.042	0.615	513	507.67
152	2	15096274	0.014	1.235	0.042	0.591	513	507.67
153	2	15096787	0.013	1.268	0.053	0.595	513	507.67
154	2	15097300	0.014	1.263	0.048	0.594	513	507.67
155	2	15097813	0.014	1.279	0.059	0.598	513	507.67
156	2	15098326	0.014	1.336	0.055	0.618	513	507.67
157	2	15098839	0.014	1.269	0.043	0.612	513	507.67
158	2	15099352	0.014	1.234	0.033	0.604	513	507.67
159	2	15099865	0.014	1.306	0.041	0.616	513	507.67
160	2	15100378	0.014	1.234	0.043	0.595	513	507.67
161	2	15100891	0.014	1.236	0.046	0.587	513	507.67
162	2	15101404	0.014	1.236	0.046	0.591	513	507.67
163	2	15101917	0.029	1.264	0.047	0.598	513	507.67
164	2	15102430	0.014	1.311	0.044	0.633	513	507.67
165	2	15102943	0.014	1.295	0.045	0.645	513	507.67
166	2	15103456	0.014	1.236	0.051	0.588	513	507.67
167	2	15103969	0.013	1.333	0.043	0.644	513	507.67
168	2	15104482	0.013	1.305	0.05	0.627	513	507.67
169	2	15104995	0.013	1.235	0.05	0.59	513	507.67
170	2	15105508	0.014	1.236	0.05	0.587	513	507.67
171	2	15106021	0.014	1.294	0.048	0.63	513	507.67
172	2	15106534	0.014	1.234	0.039	0.595	513	507.67
173	2	15107047	0.014	1.242	0.044	0.592	513	507.67
174	2	15107560	0.014	1.276	0.049	0.596	513	507.67
175	2	15108073	0.014	1.236	0.048	0.593	513	507.67
176	2	15108586	0.023	1.258	0.042	0.619	513	507.67
177	2	15109099	0.013	1.249	0.042	0.631	513	507.67
178	2	15109612	0.014	1.251	0.056	0.591	513	507.67
179	2	15110125	0.013	1.257	0.045	0.59	513	507.67
180	2	15110638	0.013	1.282	0.042	0.62	513	507.67
181	2	15111151	0.016	1.274	0.053	0.615	513	507.67
182	2	15111664	0.014	1.263	0.047	0.611	513	507.67
183	2	15112177	0.014	1.277	0.052	0.619	513	507.67
184	2	15112690	0.014	1.298	0.042	0.636	513	507.67
185	2	15113203	0.014	1.3	0.048	0.616	513	507.67
186	2	15113716	0.014	1.236	0.044	0.594	513	507.67
187	2	15114229	0.014	1.235	0.043	0.595	513	507.67
188	2	15114742	0.014	1.264	0.045	0.597	513	507.67
189	2	15115255	0.014	1.265	0.042	0.594	513	507.67
190	2	15115768	0.014	1.263	0.048	0.599	513	507.67
191	2	15116281	0.014	1.273	0.043	0.623	513	507.67
