K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
925	2	590970	0.027	1.994	0.064	1.403	676	682.33
926	2	591530	0.025	13.322	0.071	12.623	560	568.00
927	2	592199	0.029	10.75	0.084	9.981	669	705.00
928	2	592903	0.034	9.049	0.093	8.162	704	611.67
929	2	593590	0.033	28.453	0.073	27.678	687	637.33
930	2	594201	0.038	2.288	0.086	1.554	611	638.00
931	2	594930	0.037	27.14	0.072	26.442	729	677.00
932	2	595523	0.039	7.773	0.075	7.066	593	622.00
933	2	596102	0.029	9.897	0.069	9.169	579	770.00
934	2	596700	0.038	15.705	0.071	14.906	598	602.67
935	2	597344	0.045	8.058	0.08	7.139	644	592.67
936	2	597977	0.033	4.575	0.093	3.669	633	614.00
937	2	598500	0.038	30.244	0.072	29.355	523	678.33
938	2	599339	0.054	14.918	0.085	14.144	839	681.33
939	2	599812	0.042	10.769	0.07	10.003	473	516.67
940	2	600361	0.029	2.785	0.075	2.024	549	533.67
941	2	600875	0.027	28.239	0.071	27.439	514	670.00
942	2	601594	0.068	6.275	0.067	5.425	719	669.67
943	2	602216	0.029	28.807	0.064	28.008	622	657.33
944	2	602765	0.04	8.647	0.088	7.844	549	593.00
945	2	603331	0.032	3.611	0.08	2.735	566	616.33
946	2	604113	0.036	15.78	0.078	14.986	782	708.33
947	2	604730	0.039	26.512	0.067	25.799	617	655.67
948	2	605530	0.044	3.581	0.063	2.861	800	710.67
949	2	606061	0.029	24.632	0.074	23.984	531	572.67
950	2	606674	0.037	1.564	0.05	0.936	613	554.67
951	2	607357	0.026	9.518	0.067	8.843	683	679.00
952	2	607987	0.042	7.785	0.063	7.039	630	638.33
953	2	608692	0.031	27.642	0.071	26.842	705	649.00
954	2	609281	0.042	5.682	0.077	5.008	589	616.00
955	2	609893	0.029	6.674	0.071	5.96	612	670.00
956	2	610413	0.04	7.857	0.071	7.124	520	586.67
957	2	611051	0.03	10.118	0.079	9.375	638	629.00
958	2	611562	0.043	14.541	0.08	13.787	511	676.33
959	2	612232	0.044	25.591	0.067	24.885	670	577.33
960	2	612916	0.041	1.727	0.073	1.01	684	581.33
961	2	613611	0.028	25.51	0.081	24.813	695	728.00
962	2	614412	0.041	13.32	0.066	12.633	801	616.67
963	2	615052	0.039	9.36	0.065	8.598	640	716.33
964	2	615683	0.027	7.285	0.061	6.627	631	554.33
965	2	616401	0.041	6.973	0.072	6.177	718	694.67
966	2	617123	0.029	5.538	0.079	4.807	722	651.33
967	2	617739	0.04	26.723	0.079	25.971	616	612.67
968	2	618192	0.035	6.771	0.055	6.135	453	646.67
